Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
MKDX;MDAX KURSINDEX;DE0008467531;LXS;LANXESS AG;DE0005470405;LXS.DE;Prime Standard;XETRA;18.436,59;LXS.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;60,68;15,75;73.034.192;87.447.852;0,9349;1;4.748,33;1,43%;10,133671;246,550966;4,545559;2;0,23%;5,90%;35,44%;-1,71%;22,57%;29,17%;0,8879;1,2156;0,7805;1,1032;0,4428;0,5581
MKDX;MDAX KURSINDEX;DE0008467531;LEG;LEG IMMOBILIEN SE NA O.N.;DE000LEG1110;LEG.DE;Prime Standard;XETRA;18.436,59;LEG.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;132,5;44,5;52.963.444;72.095.943;1;1;8.799,31;2,65%;8,936415;217,421871;4,008518;1;0,76%;7,90%;19,92%;7,59%;14,74%;18,28%;1,8169;1,0976;0,6237;0,5188;0,5418;0,4189
MKDX;MDAX KURSINDEX;DE0008467531;LHA;LUFTHANSA AG VNA O.N.;DE0008232125;LHA.DE;Prime Standard;XETRA;18.436,59;LHA.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;9,945;69,28;21.780.000;597.742.822;0,7153;1;4.417,61;1,33%;52,997463;1.289,42;23,77254;2;0,41%;4,72%;25,57%;-8,04%;26,07%;48,79%;0,6159;0,5261;0,6982;1,3414;0,3429;0,4058
MKDX;MDAX KURSINDEX;DE0008467531;MOR;MORPHOSYS AG O.N.;DE0006632003;MOR.DE;Prime Standard;XETRA;18.436,59;MOR.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;45,15;31;3.429.640;32.890.046;0,996;1;2.213,82;0,67%;4,06047;98,790736;1,821364;5;-0,35%;-33,15%;-59,36%;-51,88%;58,97%;42,23%;-1,8924;-1,3875;2,2116;1,203;0,4803;0,4205
MKDX;MDAX KURSINDEX;DE0008467531;NEM;NEMETSCHEK SE O.N.;DE0006452907;NEM.DE;Prime Standard;XETRA;18.436,59;NEM.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;74,46;75;9.625.000;115.500.000;0,4843;1;3.543,03;1,07%;6,933443;168,689812;3,110065;3;3,19%;13,78%;17,61%;23,94%;20,65%;36,73%;2,2581;0,484;0,8063;1,2307;0,5001;0,4946
MKDX;MDAX KURSINDEX;DE0008467531;NDX1;NORDEX SE O.N.;DE000A0D6554;NDX1.DE;Prime Standard;XETRA;18.436,59;NDX1.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;16,32;8,95;52.050.000;117.348.759;0,669;1;1.384,85;0,42%;9,730992;236,753834;4,364933;5;3,49%;-11,64%;85,87%;-21,45%;59,81%;57,39%;-0,6533;1,4897;0,9717;2,0255;0,208;0,5209
MKDX;MDAX KURSINDEX;DE0008467531;PAH3;PORSCHE AUTOM.HLDG VZO;DE000PAH0038;PAH3.DE;General Standard;XETRA;18.436,59;PAH3.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;90,24;1.186,03;8.750.000;153.125.000;1;1;14.108,94;4,25%;18,980104;461,783599;8,513715;1;1,17%;-1,65%;82,26%;63,92%;34,70%;34,00%;-0,1558;2,4096;2,1588;1,2356;0,7967;0,5364
MKDX;MDAX KURSINDEX;DE0008467531;PSM;PROSIEBENSAT.1  NA O.N.;DE000PSM7770;PSM.DE;Prime Standard;XETRA;18.436,59;PSM.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;16,565;44,48;17.500.000;233.000.000;0,8472;1;3.268,90;0,99%;24,467768;595,29779;10,975261;3;-0,87%;-0,42%;75,39%;23,63%;25,87%;37,70%;-0,0488;1,9921;1,4899;1,0735;0,7375;0,4203
MKDX;MDAX KURSINDEX;DE0008467531;PUM;PUMA SE;DE0006969603;PUM.DE;Prime Standard;XETRA;18.436,59;PUM.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;103,95;99,7;280.000;150.824.640;0,6076;1;8.694,90;2,62%;11,359064;276,364633;5,095221;1;-0,19%;5,00%;55,80%;12,85%;18,74%;25,95%;0,9079;2,1455;1,0987;0,9472;0,7509;0,5389
MKDX;MDAX KURSINDEX;DE0008467531;QIA;QIAGEN NV         EO -,01;NL0012169213;QIA.DE;Prime Standard;XETRA;18.436,59;QIA.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;43,86;40,14;16.769.026;230.829.309;0,991;1;9.102,04;2,74%;28,35418;689,853716;12,71855;1;0,83%;6,51%;4,43%;3,32%;29,52%;26,36%;0,7483;0,1782;0,1085;0,4897;0,0471;0,2742
MKDX;MDAX KURSINDEX;DE0008467531;RAA;RATIONAL AG;DE0007010803;RAA.DE;Prime Standard;XETRA;18.436,59;RAA.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;914,6;35;2.482.032;11.370.000;0,4485;1;3.738,91;1,13%;0,632085;15,378547;0,283528;3;-1,53%;18,13%;74,30%;20,85%;28,09%;33,41%;2,1822;2,2156;1,1561;1,1011;0,5271;0,4865
MKDX;MDAX KURSINDEX;DE0008467531;RHM;RHEINMETALL AG;DE0007030009;RHM.DE;Prime Standard;XETRA;18.436,59;RHM.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;81,76;99,7;900.000;43.558.850;0,9917;1;3.634,62;1,10%;5,35438;130,271412;2,401761;3;0,47%;-0,78%;-2,47%;-3,31%;24,92%;30,79%;-0,0988;-0,0698;1,0288;1,2102;0,5287;0,5801
MKDX;MDAX KURSINDEX;DE0008467531;SRT3;SARTORIUS AG VZO O.N.;DE0007165631;SRT3.DE;Prime Standard;XETRA;18.436,59;SRT3.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;500,4;311,89;60.000;37.440.000;0,6571;1;10.143,33;3,06%;3,049438;74,192449;1,367856;1;0,91%;14,53%;52,53%;45,87%;29,42%;35,38%;1,6708;1,4815;-0,2324;0,8731;-0,1012;0,3642
