A;TICKER;NAME;TRUENAMES
SYM;NBL;SMART;AMEX
SYM;JWN;SMART;AMEX
SYM;NSC;SMART;AMEX
SYM;NTRS;SMART;AMEX
SYM;NOC;SMART;AMEX
SYM;NLOK;SMART;AMEX
SYM;NCLH;SMART;AMEX
SYM;NRG;SMART;AMEX
SYM;NUE;SMART;AMEX
SYM;NVDA;SMART;AMEX
SYM;NVR;SMART;AMEX
SYM;ORLY;SMART;AMEX
SYM;OXY;SMART;AMEX
SYM;ODFL;SMART;AMEX
SYM;OMC;SMART;AMEX
SYM;OKE;SMART;AMEX
SYM;ORCL;SMART;AMEX
SYM;OTIS;SMART;AMEX
SYM;PCAR;SMART;AMEX
SYM;PKG;SMART;AMEX
SYM;PH;SMART;AMEX
SYM;PAYX;SMART;AMEX
SYM;PAYC;SMART;AMEX
SYM;PYPL;SMART;AMEX
SYM;PNR;SMART;AMEX
SYM;PBCT;SMART;AMEX
SYM;PEP;SMART;AMEX
SYM;PKI;SMART;AMEX
SYM;PRGO;SMART;AMEX
SYM;PFE;SMART;AMEX
SYM;PM;SMART;AMEX
SYM;PSX;SMART;AMEX
SYM;PNW;SMART;AMEX
SYM;PXD;SMART;AMEX
SYM;PNC;SMART;AMEX
SYM;PPG;SMART;AMEX
SYM;PPL;SMART;AMEX
SYM;PFG;SMART;AMEX
SYM;PG;SMART;AMEX
SYM;PGR;SMART;AMEX
SYM;PLD;SMART;AMEX
SYM;PRU;SMART;AMEX
SYM;PEG;SMART;AMEX
SYM;PSA;SMART;AMEX
SYM;PHM;SMART;AMEX
SYM;PVH;SMART;AMEX
SYM;QRVO;SMART;AMEX
SYM;PWR;SMART;AMEX
SYM;QCOM;SMART;AMEX
SYM;DGX;SMART;AMEX
SYM;RL;SMART;AMEX
SYM;RJF;SMART;AMEX
SYM;RTX;SMART;AMEX
SYM;O;SMART;AMEX
SYM;REG;SMART;AMEX
SYM;REGN;SMART;AMEX
SYM;RF;SMART;AMEX
SYM;RSG;SMART;AMEX
SYM;RMD;SMART;AMEX
SYM;RHI;SMART;AMEX
SYM;ROK;SMART;AMEX
SYM;ROL;SMART;AMEX
SYM;ROP;SMART;AMEX
SYM;ROST;SMART;AMEX
SYM;RCL;SMART;AMEX
SYM;SPGI;SMART;AMEX
SYM;CRM;SMART;AMEX
SYM;SBAC;SMART;AMEX
SYM;SLB;SMART;AMEX
SYM;STX;SMART;AMEX
SYM;SEE;SMART;AMEX
