WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
A142N3;IE00B4KBBD01;2B7A.DE;ETF;ISHARES S&P UTILITIES;"iShares S&amp;P 500 Utilities Sector UCITS ETF USD (Acc)"
A142NV;IE00B4MCHD36;QDVK.DE;ETF;ISHARES S&P500;"iShares S&amp;P 500 Consumer Discretionary Sector UCITS ETF USD (Acc)"
A142NX;IE00B42NKQ00;QDVF.DE;ETF;ISHARES S&P500 ENERGY;"iShares S&amp;P 500 Energy Sector UCITS ETF USD (Acc)"
A142NY;IE00B4JNQZ49;QDVH.DE;ETF;ISHARES S&P500;"iShares S&amp;P 500 Financials Sector UCITS ETF USD (Acc)"
A142NZ;IE00B43HR379;QDVG.DE;ETF;ISHARES S&P500;"iShares S&amp;P 500 Health Care Sector UCITS ETF USD (Acc)"
A142N1;IE00B3WJKG14;QDVE.DE;ETF;ISHARES S&P500;"iShares S&amp;P 500 Information Technology Sector UCITS ETF USD (Acc)"
593396;DE0005933964;EXI1.DE;ETF;ISHARES SLI (DE);iShares SLI UCITS ETF (DE)
A142NU;IE00BYZTVV78;QDVL.DE;ETF;ISHARES SUST EUR CORP;"iShares &#226;&#130;&#172; Corp Bond 0-3yr ESG UCITS ETF EUR (Dist)"
A2AFCZ;IE00BYVJRP78;QDVS.DE;ETF;ISHARES SUST MSCI EM;iShares MSCI EM SRI UCITS ETF USD (Acc)
A2AFC0;IE00BYVJRR92;QDVR.DE;ETF;ISHARES SUST MSCI USA;iShares MSCI USA SRI UCITS ETF USD (Acc)
A0LGP8;IE00B1FZSC47;IUST.DE;ETF;ISHARES TIPS UCITS;iShares $ TIPS UCITS ETF USD (Acc)
A12HL9;IE00BSKRJZ44;IS04.DE;ETF;ISHARES TREASURY BOND;iShares $ Treasury Bond 20+yr UCITS ETF USD (Dist)
A2AGYT;IE00BZ6V7883;QDVP.DE;ETF;ISHARES US MORTGAGE;iShares US Mortgage Backed Securities UCITS ETF USD (Dist)
A0LEW6;IE00B1FZSF77;CEMA.DE;ETF;ISHARES US PROPERTY;iShares VII PLC - iShares MSCI EM Asia ETF USD Acc
A111YB;IE00BKM4H312;QDVD.DE;ETF;ISHARES USA DIV IQ;iShares MSCI USA Quality Dividend UCITS ETF USD (Dist)
263526;DE0002635265;EXHE.DE;ETF;ISHARESJUMPFANDB;iShares Pfandbriefe UCITS ETF (DE)
A0Q4R2;DE000A0Q4R28;EXV5.DE;ETF;ISHRS STX600;"iShares STOXX Europe 600 Automobiles &amp; Parts UCITS ETF (DE)"
A0F5UJ;DE000A0F5UJ7;EXV1.DE;ETF;ISHRS STX600 BANKS;iShares STOXX Europe 600 Banks UCITS ETF (DE)
A0H08E;DE000A0H08E0;EXV7.DE;ETF;ISHRS STX600 CHEMICALS;iShares STOXX Europe 600 Chemicals UCITS ETF (DE)
A0H08F;DE000A0H08F7;EXV8.DE;ETF;ISHRS STX600;"iShares STOXX Europe 600 Construction &amp; Materials UCITS ETF (DE)"
A0H08G;DE000A0H08G5;EXH2.DE;ETF;ISHRS STX600 FINANCIAL;iShares STOXX Europe 600 Financial Services UCITS ETF (DE)
A0H08H;DE000A0H08H3;EXH3.DE;ETF;ISHRS STX600 FOOD &;"iShares STOXX Europe 600 Food &amp; Beverage UCITS ETF (DE)"
A0Q4R3;DE000A0Q4R36;EXV4.DE;ETF;ISHRS STX600 HEALTH;iShares STOXX Europe 600 Health Care UCITS ETF (DE)
A0H08J;DE000A0H08J9;EXH4.DE;ETF;ISHRS STX600;"iShares STOXX Europe 600 Industrial Goods &amp; Services UCITS ETF (DE)"
A0H08K;DE000A0H08K7;EXH5.DE;ETF;ISHRS STX600 INSURANCE;iShares STOXX Europe 600 Insurance UCITS ETF (DE)
