Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;ULC;UNITED LABELS O.N.;DE0005489561;ULC.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;2,88;87,8;3.850.000;6.930.000;0,6426;1;13,09;0,00%;0,00977;2,612272;0,00412;5;3,60%;-6,49%;51,58%;171,70%;43,86%;75,62%;-0,4953;0,6799;0,1712;n/a;0,0385;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;OSP2;USU SOFTWARE AG;DE000A0BVU28;OSP2.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;25,4;106;9.500.000;10.523.770;0,4919;1;132,52;0,01%;0,011358;3,036635;0,004789;4;0,00%;-5,22%;29,92%;-8,30%;30,22%;38,65%;-0,5772;0,7743;0,5059;n/a;0,1652;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;UTDI;UTD.INTERNET AG NA;DE0005089031;UTDI.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;34,53;122,2;2.640.000;194.000.000;0,4879;1,010923;3.288,74;0,19%;0,209936;56,13;0,088528;2;-0,80%;3,07%;-10,44%;1,78%;18,83%;35,24%;0,5592;-0,2871;0,7501;n/a;0,3932;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VQT;VA-Q-TEC AG NA O.N.;DE0006636681;VQT.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;29,85;14;13.089.502;13.089.502;0,6986;1;299,02;0,02%;0,020063;5,364091;0,00846;4;-3,40%;-11,56%;89,52%;-3,40%;34,52%;60,18%;-1,1237;1,4799;1,1741;n/a;0,3357;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VTWR;VANTAGE TOWERS AG NA O.N.;DE000A3H3LL2;VTWR.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;27,58;24,35;505.782.265;505.782.265;0,1895;1;2.616,59;0,15%;0,210285;56,223416;0,088675;2;0,73%;2,41%;n/a;n/a;15,63%;n/a;0,5312;n/a;0,5012;n/a;0,3165;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VAR1;VARTA AG O.N.;DE000A0TGJ55;VAR1.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;133,8;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VBK;VERBIO VER.BIOENERGIE  ON;DE000A0JL9W6;VBK.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;45,16;15;63.000.000;63.000.000;0,2806;1;788,43;0,05%;0,038785;10,369854;0,016355;3;-2,88%;-2,21%;374,66%;47,81%;34,80%;56,41%;-0,2092;6,5932;1,3332;n/a;0,3782;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VIB3;VILLEROY + BOCH AG VZ;DE0007657231;VIB3.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;19,85;317,77;936.320;14.044.800;0,8802;1,025637;224,42;0,01%;0,027818;7,437638;0,011731;4;-2,22%;16,42%;79,22%;42,69%;33,05%;33,16%;1,6803;2,3772;0,6874;n/a;0,2053;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;V6C;VISCOM AG O.N.;DE0007846867;V6C.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;15,15;20,4;9.020.000;9.020.000;0,4158;1;47,26;0,00%;0,008229;2,200065;0,00347;5;2,36%;24,69%;91,57%;56,19%;58,79%;48,23%;1,4187;1,8886;-2,3469;n/a;-0,3941;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;V3V;VITA 34 AG NA O.N.;DE000A0BL849;V3V.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;15,75;14,4;2.646.500;4.145.959;0,6356;1;42,56;0,00%;0,005782;1,5458;0,002438;5;0,32%;-7,35%;25,50%;25,50%;25,85%;30,43%;-0,9527;0,8392;-0,3451;n/a;-0,1318;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VOW;VOLKSWAGEN AG ST O.N.;DE0007664005;VOW.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;272,4;114,79;24.000.000;295.089.818;0,099;1;8.325,96;0,49%;0,064095;17,136962;0,027028;1;-2,78%;-11,84%;91,47%;60,14%;29,89%;44,59%;-1,3303;2,0404;2,1626;n/a;0,7142;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VOW3;VOLKSWAGEN AG VZO O.N.;DE0007664039;VOW3.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;203;108,39;6.000.000;206.205.445;0,8878;1;39.982,31;2,35%;0,401654;107,388972;0,169373;1;-3,88%;-15,42%;51,57%;33,18%;26,18%;35,91%;-1,9787;1,4314;2,0887;n/a;0,7874;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VBX;VOLTABOX AG  INH. O.N.;DE000A2E4LE9;VBX.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;3,23;30;15.000.000;15.825.000;0,3997;1;21,76;0,00%;0,013878;3,710413;0,005852;5;-2,12%;-1,52%;-27,82%;-14,32%;45,08%;70,84%;-0,1103;-0,3862;-0,3891;n/a;-0,0852;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VNA;VONOVIA SE NA O.N.;DE000A1ML7J1;VNA.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;56,82;17,1;222.222.223;565.887.299;0,9371;1,029654;29.277,50;1,72%;1,197964;320,296071;0,505168;1;1,61%;7,33%;4,36%;-2,10%;11,37%;22,84%;2,1874;0,2;-0,1039;n/a;-0,0902;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;VOS;VOSSLOH AG O.N.;DE0007667107;VOS.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;42,1;226,5;216.000;17.564.180;0,4991;1,017462;379,07;0,02%;0,019569;5,232124;0,008252;4;-2,66%;-1,64%;4,12%;4,24%;24,33%;32,96%;-0,2198;0,1313;1,3603;n/a;0,5518;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;WCH;WACKER CHEMIE        O.N.;DE000WCH8881;WCH.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;127,45;90;52.152.600;52.152.600;0,2876;1,011848;1.882,68;0,11%;0,033298;8,902757;0,014041;2;-2,49%;-7,34%;98,95%;10,93%;42,05%;35,77%;-0,5848;2,7509;2,7006;n/a;0,634;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;WAC;WACKER NEUSON SE NA O.N.;DE000WACK012;WAC.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;24,74;24,6;51.000.000;70.140.000;0,42;1,018003;719,14;0,04%;0,065796;17,591729;0,027745;3;-0,72%;-2,29%;91,73%;52,42%;19,01%;34,13%;-0,3976;2,6735;1,028;n/a;0,5339;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;WSU;WASHTEC AG O.N.;DE0007507501;WSU.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;52,1;12,78;4.600.000;13.976.970;0,8349;1,037784;626,1;0,04%;0,02657;7,103933;0,011204;3;-0,95%;-1,14%;43,02%;22,22%;18,42%;35,91%;-0,1994;1,1954;1,103;n/a;0,5911;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;WEW;WESTWING GROUP  INH. O.N.;DE000A2N4H07;WEW.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;46,12;26,49;19.942.100;20.903.968;0,6155;1;638,95;0,04%;0,028229;7,547467;0,011904;3;-1,16%;-11,05%;434,48%;39,27%;20,93%;69,00%;-1,7719;6,2507;0,7835;n/a;0,3695;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;WDL;WINDELN.DE SE  INH O.N.;DE000WNDL201;WDL.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;1,95;18;25.394.511;8.160.245;0,4798;1,180328;11,46;0,00%;0,010139;2,710882;0,004276;5;17,12%;142,28%;-1,15%;62,09%;477,34%;161,81%;1,0051;-0,0055;-4,286;n/a;-0,0886;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;WUW;WUESTENROT+WUERTT.AG O.N.;DE0008051004;WUW.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;19,34;44;86.051.680;93.749.720;0,2367;1,025133;429,49;0,03%;0,04991;13,34421;0,021046;3;-0,31%;2,87%;27,59%;21,10%;24,10%;20,35%;0,4087;1,3571;-1,2053;n/a;-0,4937;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;YOC;YOC AG O.N.;DE0005932735;YOC.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;10,7;10,6;1.750.000;3.292.978;0,4931;1;15,51;0,00%;0,003563;0,952507;0,001502;5;-0,93%;13,23%;261,49%;33,75%;47,66%;62,74%;0,939;4,1389;0,4456;n/a;0,0923;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;ZAL;ZALANDO SE;DE000ZAL1111;ZAL.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;103,2;24,1;244.762.223;255.264.213;0,6715;1;17.014,15;1,00%;0,376073;100,549604;0,158586;1;0,54%;8,06%;54,82%;13,33%;26,44%;35,25%;1,0341;1,5495;0,9411;n/a;0,3513;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;TIMA;ZEAL NETWORK SE NA O.N.;DE000ZEAL241;TIMA.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;40,85;20;8.872.319;22.396.070;0,6597;1,016759;627,18;0,04%;0,032959;8,812127;0,013898;3;0,74%;1,36%;16,39%;-9,26%;27,70%;28,11%;0,172;0,5872;-0,4103;n/a;-0,1462;n/a
4JC2;PRIME ALL SH. NR EUR;DE000A3CK6D7;ZO1;ZOOPLUS AG;DE0005111702;ZO1.DE;Prime Standard;.DE;1.577,19;n/a;n/a;n/a;2.387,83;0,4743156;1.704.730;318;-0,75%;-0,31%;n/a;12,80%;9,87%;n/a;-0,088;n/a;279;25,9;2.386.150;7.149.178;0,9006;1;1.720,38;0,10%;0,014126;3,776874;0,005957;2;0,58%;17,72%;82,35%;64,31%;24,72%;45,04%;2,4232;1,8193;0,8397;n/a;0,3353;n/a
