;TICKER;TRUENAMES;industry;sector
116;XDNY.DE;Xtrackers (IE) Public Limited Company - Xtrackers JPX-Nikkei 400 UCITS ETF;ETF;sector
535;SXRZ.DE;iShares VII PLC - iShares Nikkei 225 ETF JPY Acc;ETF;sector
76;DBX3.DE;Xtrackers - MSCI EM Latin America Swap UCITS ETF;ETF;sector
92;DBX4.DE;Xtrackers - MSCI EM Europe, Middle East & Africa Swap UCITS ETF;ETF;sector
87;DBX5.DE;Xtrackers - MSCI Taiwan UCITS ETF;ETF;sector
74;DBX6.DE;Xtrackers - MSCI Brazil UCITS ETF;ETF;sector
30;EWJ;iShares MSCI Japan ETF;ETF;sector

432;LYMD.DE;Multi Units France - Lyxor MSCI India UCITS ETF;ETF;sector
418;LYMH.DE;Multi Units France - Lyxor MSCI Greece UCITS ETF;ETF;sector
326;X014.DE;Lyxor MSCI Pacific UCITS ETF;ETF;sector
26;DBX7.DE;Xtrackers - Nifty 50 Swap UCITS ETF;ETF;sector
83;DBX8.DE;Xtrackers - MSCI Korea UCITS ETF;ETF;sector
23;DBX9.DE;Xtrackers - FTSE China 50 UCITS ETF;ETF;sector
16;D5BH.DE;Xtrackers - MSCI Canada UCITS ETF;ETF;sector
526;SXR2.DE;iShares VII Public Limited Company - iShares MSCI Canada UCITS ETF;ETF;sector
197;XESD.DE;Xtrackers - Spain UCITS ETF;ETF;sector
196;XESP.DE;Xtrackers Spain UCITS ETF 1C;ETF;sector
36;D5BI.DE;Xtrackers - MSCI Mexico UCITS ETF;ETF;sector
401;C030.DE;Lyxor Dow Jones Switzerland Titans 30TM (DR) UCITS ETF;ETF;sector
531;CEBB.DE;iShares VII PLC - iShares MSCI Russia ADR/GDR ETF USD Acc;ETF;sector
530;CEBG.DE;iShares VII PLC - iShares MSCI Mexico Capped ETF USD Acc;ETF;sector
24;DBXJ.DE;Xtrackers - MSCI Japan UCITS ETF;ETF;sector
166;XDN0.DE;Xtrackers (IE) Plc - Xtrackers MSCI Nordic UCITS ETF 1D;ETF;sector
734;IBC6.DE;iShares MSCI Australia UCITS ETF USD (Acc);ETF;sector
556;IQQB.DE;iShares MSCI Brazil UCITS ETF USD (Dist);ETF;sector
557;IQQJ.DE;iShares MSCI Japan UCITS ETF USD (Dist);ETF;sector
558;IQQK.DE;iShares MSCI Korea UCITS ETF USD (Dist);ETF;sector
560;IQQT.DE;iShares Public Limited Company - iShares MSCI Taiwan UCITS ETF;ETF;sector
509;LRUS.DE;Lyxor MSCI Russia UCITS ETF Acc;ETF;sector
